ID,wavelengths,reflectance,latitude,longitude,good_wavelengths,fwhm,elev,spatial_ref,Category
49,797.89935,0.21392134,-34.090211186375335,19.01500493408963,1.0,8.489,671.94305,0,PINE
49,805.36176,0.2162845,-34.090211186375335,19.01500493408963,1.0,8.491,671.94305,0,PINE
49,812.8232,0.21817021,-34.090211186375335,19.01500493408963,1.0,8.492,671.94305,0,PINE
49,820.2846,0.22012639,-34.090211186375335,19.01500493408963,1.0,8.494,671.94305,0,PINE
49,827.746,0.22199108,-34.090211186375335,19.01500493408963,1.0,8.495,671.94305,0,PINE
49,835.2074,0.22383487,-34.090211186375335,19.01500493408963,1.0,8.496,671.94305,0,PINE
49,842.66986,0.2257502,-34.090211186375335,19.01500493408963,1.0,8.498,671.94305,0,PINE
49,850.1313,0.22760105,-34.090211186375335,19.01500493408963,1.0,8.499,671.94305,0,PINE
49,857.5937,0.22937678,-34.090211186375335,19.01500493408963,1.0,8.501,671.94305,0,PINE
49,865.0551,0.2311426,-34.090211186375335,19.01500493408963,1.0,8.502,671.94305,0,PINE
49,872.5176,0.2328009,-34.090211186375335,19.01500493408963,1.0,8.503,671.94305,0,PINE
49,879.98004,0.23441799,-34.090211186375335,19.01500493408963,1.0,8.505,671.94305,0,PINE
49,887.44147,0.23590948,-34.090211186375335,19.01500493408963,1.0,8.506,671.94305,0,PINE
49,894.90393,0.23723608,-34.090211186375335,19.01500493408963,1.0,8.508,671.94305,0,PINE
49,902.3664,0.23844442,-34.090211186375335,19.01500493408963,1.0,8.509,671.94305,0,PINE
49,909.82886,0.23972052,-34.090211186375335,19.01500493408963,1.0,8.51,671.94305,0,PINE
49,917.2913,0.2406377,-34.090211186375335,19.01500493408963,1.0,8.512,671.94305,0,PINE
49,924.7538,0.24122147,-34.090211186375335,19.01500493408963,1.0,8.513,671.94305,0,PINE
49,932.21625,0.24045384,-34.090211186375335,19.01500493408963,1.0,8.515,671.94305,0,PINE
49,939.6788,0.23889787,-34.090211186375335,19.01500493408963,1.0,8.516,671.94305,0,PINE
49,947.14026,0.23719774,-34.090211186375335,19.01500493408963,1.0,8.517,671.94305,0,PINE
49,954.6027,0.234027,-34.090211186375335,19.01500493408963,1.0,8.519,671.94305,0,PINE
49,962.0643,0.23108988,-34.090211186375335,19.01500493408963,1.0,8.52,671.94305,0,PINE
49,969.5268,0.23048612,-34.090211186375335,19.01500493408963,1.0,8.522,671.94305,0,PINE
49,976.9883,0.23109026,-34.090211186375335,19.01500493408963,1.0,8.523,671.94305,0,PINE
49,984.4498,0.23255002,-34.090211186375335,19.01500493408963,1.0,8.524,671.94305,0,PINE
49,991.9114,0.2352373,-34.090211186375335,19.01500493408963,1.0,8.526,671.94305,0,PINE
49,999.37286,0.23909238,-34.090211186375335,19.01500493408963,1.0,8.527,671.94305,0,PINE
49,1006.8344,0.24324964,-34.090211186375335,19.01500493408963,1.0,8.529,671.94305,0,PINE
49,1014.295,0.24722308,-34.090211186375335,19.01500493408963,1.0,8.53,671.94305,0,PINE
49,1021.7566,0.25140476,-34.090211186375335,19.01500493408963,1.0,8.531,671.94305,0,PINE
49,1029.2172,0.2554643,-34.090211186375335,19.01500493408963,1.0,8.533,671.94305,0,PINE
49,1036.6777,0.2594186,-34.090211186375335,19.01500493408963,1.0,8.534,671.94305,0,PINE
49,1044.1383,0.2630872,-34.090211186375335,19.01500493408963,1.0,8.536,671.94305,0,PINE
49,1051.5989,0.2663576,-34.090211186375335,19.01500493408963,1.0,8.537,671.94305,0,PINE
49,1059.0596,0.2691713,-34.090211186375335,19.01500493408963,1.0,8.538,671.94305,0,PINE
49,1066.5201,0.27146265,-34.090211186375335,19.01500493408963,1.0,8.54,671.94305,0,PINE
49,1073.9797,0.273423,-34.090211186375335,19.01500493408963,1.0,8.541,671.94305,0,PINE
49,1081.4404,0.27486944,-34.090211186375335,19.01500493408963,1.0,8.543,671.94305,0,PINE
49,1088.9,0.27585238,-34.090211186375335,19.01500493408963,1.0,8.544,671.94305,0,PINE
49,1096.3597,0.27632803,-34.090211186375335,19.01500493408963,1.0,8.545,671.94305,0,PINE
49,1103.8184,0.2764275,-34.090211186375335,19.01500493408963,1.0,8.547,671.94305,0,PINE
49,1111.2781,0.27626812,-34.090211186375335,19.01500493408963,1.0,8.548,671.94305,0,PINE
49,1118.7368,0.27448478,-34.090211186375335,19.01500493408963,1.0,8.55,671.94305,0,PINE
49,1126.1964,0.26997384,-34.090211186375335,19.01500493408963,1.0,8.551,671.94305,0,PINE
49,1133.6552,0.26268968,-34.090211186375335,19.01500493408963,1.0,8.552,671.94305,0,PINE
49,1141.1129,0.2542929,-34.090211186375335,19.01500493408963,1.0,8.554,671.94305,0,PINE
49,1148.5717,0.24464917,-34.090211186375335,19.01500493408963,1.0,8.555,671.94305,0,PINE
49,1156.0304,0.23890732,-34.090211186375335,19.01500493408963,1.0,8.557,671.94305,0,PINE
49,1163.4882,0.23702286,-34.090211186375335,19.01500493408963,1.0,8.558,671.94305,0,PINE
49,1170.9459,0.23642087,-34.090211186375335,19.01500493408963,1.0,8.559,671.94305,0,PINE
49,1178.4037,0.23606113,-34.090211186375335,19.01500493408963,1.0,8.561,671.94305,0,PINE
